2026-06-13 22:27:58 | src.features.jd_feature_mapper | INFO    | JD parsed: 3 must-have skills, 3 preferred, experience range: [5.0, 9.0], 3 domain keywords
2026-06-13 22:27:58 | src.features.jd_feature_mapper | INFO    | JD parsed: 0 must-have skills, 0 preferred, experience range: [5.0, 9.0], 0 domain keywords
2026-06-13 22:27:58 | src.ingestion.data_loader      | INFO    | Loading candidates from /home/dev/Documents/RedRob project/Redrob-Codebase/data/candidates.jsonl...
2026-06-13 22:27:58 | src.ingestion.data_loader      | INFO    | Loaded 10 candidate records
2026-06-13 22:27:58 | src.ingestion.data_loader      | INFO    | Loading candidates from /tmp/tmpvewrqb_h.jsonl...
2026-06-13 22:27:58 | src.ingestion.data_loader      | INFO    | Loaded 5 candidate records
2026-06-13 22:27:58 | src.ingestion.data_loader      | INFO    | Loading candidates from /tmp/tmpfm3mmj3u.jsonl...
2026-06-13 22:27:58 | src.utils.io_utils             | WARNING | Malformed JSON at line 2: Expecting value: line 1 column 1 (char 0)
2026-06-13 22:27:58 | src.ingestion.data_loader      | INFO    | Loaded 2 candidate records
2026-06-13 22:27:58 | src.ranking.score_combiner     | INFO    | Combined scores for 10 candidates
2026-06-13 22:27:58 | src.ranking.score_combiner     | INFO    | Combined scores for 10 candidates
2026-06-13 22:27:58 | src.ranking.score_combiner     | INFO    | Combined scores for 200 candidates
2026-06-13 22:27:58 | src.ranking.ranker             | INFO    | Ranked top 100 candidates (score range: 0.8800 – 0.5335)
2026-06-13 22:27:58 | src.ranking.score_combiner     | INFO    | Combined scores for 200 candidates
2026-06-13 22:27:58 | src.ranking.ranker             | INFO    | Ranked top 100 candidates (score range: 0.8800 – 0.5335)
2026-06-13 22:27:58 | src.ranking.score_combiner     | INFO    | Combined scores for 200 candidates
2026-06-13 22:27:58 | src.ranking.ranker             | INFO    | Ranked top 100 candidates (score range: 0.8800 – 0.5335)
2026-06-13 22:27:58 | src.ranking.reasoning_generator | INFO    | Generated reasoning for 1 candidates
2026-06-13 22:27:58 | src.semantic.semantic_ranker   | INFO    | Computed semantic scores for 2 candidates (mean=0.5000, max=1.0000)
2026-06-13 22:27:58 | src.semantic.semantic_ranker   | INFO    | Computed semantic scores for 10 candidates (mean=0.0129, max=0.0528)
2026-06-13 22:28:57 | src.features.jd_feature_mapper | INFO    | JD parsed: 3 must-have skills, 3 preferred, experience range: [5.0, 9.0], 3 domain keywords
2026-06-13 22:28:57 | src.features.jd_feature_mapper | INFO    | JD parsed: 0 must-have skills, 0 preferred, experience range: [5.0, 9.0], 0 domain keywords
2026-06-13 22:28:57 | src.ingestion.data_loader      | INFO    | Loading candidates from /home/dev/Documents/RedRob project/Redrob-Codebase/data/candidates.jsonl...
2026-06-13 22:28:57 | src.ingestion.data_loader      | INFO    | Loaded 10 candidate records
2026-06-13 22:28:57 | src.ingestion.data_loader      | INFO    | Loading candidates from /tmp/tmpg09vq_z7.jsonl...
2026-06-13 22:28:57 | src.ingestion.data_loader      | INFO    | Loaded 5 candidate records
2026-06-13 22:28:57 | src.ingestion.data_loader      | INFO    | Loading candidates from /tmp/tmp2kde6imk.jsonl...
2026-06-13 22:28:57 | src.utils.io_utils             | WARNING | Malformed JSON at line 2: Expecting value: line 1 column 1 (char 0)
2026-06-13 22:28:57 | src.ingestion.data_loader      | INFO    | Loaded 2 candidate records
2026-06-13 22:28:57 | src.ranking.score_combiner     | INFO    | Combined scores for 10 candidates
